Task ID,Material,Seed,Actual required temp (C),Full,,,,,,,,No-Reflow,,,,,,,,No-POMCP,,,,,,,
,,,,Broad,,,,Narrow,,,,Broad,,,,Narrow,,,,Broad,,,,Narrow,,,
,,,,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost
碳素钢-220-076,碳素钢,204730762,365.0828949864605,0,391,80.5,20.0,0,401,85.5,10.0,0,431,215.5,20.0,1,336,85.0,10.0,1,351,50.0,0.0,1,351,50.0,0.0
铜合金-180-000,铜合金,781170000,324.0601618309369,0,371,148.0,20.0,1,331,70.0,0.0,0,346,120.5,30.0,1,331,90.0,20.0,1,311,50.0,0.0,1,311,50.0,0.0
铜合金-180-001,铜合金,781170010,341.8690183801854,0,372,133.5,20.0,1,337,70.0,0.0,0,412,193.5,20.0,1,337,70.0,0.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-180-002,铜合金,781170020,296.2765088700846,0,381,200.5,30.0,0,321,90.5,10.0,0,346,138.0,20.0,0,316,83.0,10.0,0,317,53.5,0.0,0,317,53.5,0.0
铜合金-180-003,铜合金,781170030,324.7070315019165,0,371,83.0,10.0,0,386,95.5,0.0,0,417,201.0,10.0,0,342,88.5,10.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-180-004,铜合金,781170040,286.3290695206551,0,372,151.0,10.0,0,322,76.0,10.0,0,311,90.5,20.0,0,316,78.0,0.0,0,317,58.5,0.0,0,317,58.5,0.0
铜合金-180-005,铜合金,781170050,296.12899038909126,0,356,153.0,20.0,0,316,93.0,20.0,0,351,135.5,10.0,0,316,73.0,0.0,0,317,53.5,0.0,0,317,53.5,0.0
铜合金-180-006,铜合金,781170060,341.3843518912885,0,366,65.5,10.0,0,386,85.5,0.0,0,391,188.0,40.0,1,331,70.0,0.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-180-007,铜合金,781170070,303.0981571524981,0,396,100.5,0.0,0,406,115.5,0.0,0,331,88.0,10.0,0,321,73.0,10.0,0,317,51.0,0.0,0,317,51.0,0.0
铜合金-180-008,铜合金,781170080,345.0391857539664,0,386,73.0,10.0,0,386,73.0,10.0,0,417,208.5,30.0,1,337,70.0,0.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-180-009,铜合金,781170090,287.7403478528228,0,396,118.0,10.0,0,391,110.5,10.0,0,317,68.5,10.0,0,337,88.5,0.0,0,317,58.5,0.0,0,317,58.5,0.0
铜合金-200-034,铜合金,781170341,300.8223562471733,0,327,86.0,20.0,0,327,76.0,10.0,0,332,93.5,20.0,0,342,88.5,0.0,0,317,51.0,0.0,0,317,51.0,0.0
铜合金-200-035,铜合金,781170351,316.9193693002698,0,367,138.5,20.0,0,332,76.0,10.0,0,357,123.5,20.0,0,337,73.5,0.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-200-036,铜合金,781170361,311.3331664171251,0,352,83.5,10.0,0,347,76.0,10.0,0,422,223.5,20.0,0,327,81.0,20.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-200-037,铜合金,781170371,345.1599963295108,0,372,141.0,30.0,1,337,80.0,10.0,0,372,151.0,40.0,1,332,75.0,10.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-200-038,铜合金,781170381,330.9205428758221,0,397,96.0,10.0,0,407,101.0,0.0,0,367,131.0,20.0,1,337,70.0,0.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-200-039,铜合金,781170391,299.5388133844845,0,391,115.5,20.0,0,401,120.5,10.0,0,382,161.0,10.0,0,337,83.5,0.0,0,317,53.5,0.0,0,317,53.5,0.0
铜合金-200-040,铜合金,781170401,331.41148084210147,0,392,88.5,10.0,0,407,101.0,0.0,0,362,133.5,30.0,1,332,75.0,10.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-200-041,铜合金,781170411,303.7737254737274,0,391,98.0,10.0,0,396,105.5,10.0,0,327,76.0,10.0,0,332,83.5,10.0,0,317,51.0,0.0,0,317,51.0,0.0
铜合金-200-042,铜合金,781170421,296.071600994901,0,391,100.5,10.0,0,396,108.0,10.0,0,327,78.5,10.0,0,337,83.5,0.0,0,317,53.5,0.0,0,317,53.5,0.0
铜合金-200-043,铜合金,781170431,368.3313089251157,0,396,88.0,20.0,0,406,83.0,0.0,0,447,233.5,20.0,1,337,70.0,0.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-220-067,铜合金,781170672,320.3140486909596,0,386,85.5,10.0,0,386,85.5,10.0,0,367,156.0,40.0,0,337,71.0,0.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-220-068,铜合金,781170682,347.42674203840545,0,391,75.5,10.0,0,411,95.5,0.0,0,377,138.5,20.0,1,337,70.0,0.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-220-069,铜合金,781170692,299.3920204138237,0,391,100.5,10.0,0,396,108.0,10.0,0,337,103.5,20.0,0,337,83.5,0.0,0,317,53.5,0.0,0,317,53.5,0.0
铜合金-220-070,铜合金,781170702,368.4995583335639,0,396,63.0,0.0,0,396,73.0,10.0,0,412,181.0,20.0,1,337,70.0,0.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-220-071,铜合金,781170712,328.09274218286333,0,391,85.5,10.0,0,411,105.5,0.0,0,412,201.0,20.0,1,337,80.0,10.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-220-072,铜合金,781170722,316.7486805754903,0,396,98.0,10.0,0,391,90.5,10.0,0,377,143.5,10.0,0,337,73.5,0.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-220-073,铜合金,781170732,336.92966158355534,0,391,80.5,10.0,0,406,103.0,10.0,0,427,238.5,40.0,1,337,80.0,10.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-220-074,铜合金,781170742,325.0483819273326,0,391,85.5,10.0,0,416,113.0,0.0,0,422,216.0,20.0,1,337,70.0,0.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-220-075,铜合金,781170752,380.4900546161263,0,421,123.0,30.0,0,401,73.0,10.0,0,442,218.5,20.0,1,337,70.0,0.0,1,317,50.0,0.0,1,317,50.0,0.0
铜合金-220-076,铜合金,781170762,325.8461136558186,0,396,88.0,10.0,0,416,108.0,0.0,0,357,118.5,20.0,0,342,86.0,10.0,1,317,50.0,0.0,1,317,50.0,0.0
